Date,Avarage
01.04.23,00:03:05
02.04.23,00:02:51
03.04.23,00:03:28
04.04.23,00:03:13
05.04.23,00:02:31
06.04.23,00:02:40
07.04.23,00:02:46
08.04.23,00:02:21
09.04.23,00:02:10
10.04.23,00:02:39
11.04.23,00:03:55
12.04.23,00:03:06
13.04.23,00:03:23
14.04.23,00:02:33
15.04.23,00:02:07
16.04.23,00:02:46
17.04.23,00:03:10
18.04.23,00:02:48
19.04.23,00:03:04
20.04.23,00:02:56
21.04.23,00:02:37
22.04.23,00:03:01
23.04.23,00:02:38
24.04.23,00:02:49
25.04.23,00:02:58
26.04.23,00:02:56
27.04.23,00:02:50
28.04.23,00:03:12
29.04.23,00:03:04
30.04.23,00:02:52
01.05.23,00:02:58
02.05.23,00:03:06
03.05.23,00:02:56
04.05.23,00:03:14
05.05.23,00:02:40
06.05.23,00:02:14
07.05.23,00:02:22
08.05.23,00:03:00
09.05.23,00:03:14
10.05.23,00:03:07
11.05.23,00:03:12
12.05.23,00:03:11
13.05.23,00:03:17
14.05.23,00:02:45
15.05.23,00:03:13
16.05.23,00:03:14
17.05.23,00:02:55
18.05.23,00:03:15
19.05.23,00:03:11
20.05.23,00:02:39
21.05.23,00:03:19
22.05.23,00:03:09
23.05.23,00:02:44
24.05.23,00:02:46
25.05.23,00:02:59
26.05.23,00:02:57
27.05.23,00:02:51
28.05.23,00:02:45
29.05.23,00:02:26
30.05.23,00:02:49
31.05.23,00:03:03
01.06.23,00:02:48
02.06.23,00:02:41
03.06.23,00:02:01
04.06.23,00:02:38
05.06.23,00:02:54
06.06.23,00:03:05
07.06.23,00:03:32
08.06.23,00:02:54
09.06.23,00:02:30
10.06.23,00:02:14
11.06.23,00:03:00
12.06.23,00:03:13
13.06.23,00:03:27
14.06.23,00:03:09
15.06.23,00:03:15
16.06.23,00:02:06
17.06.23,00:01:35
18.06.23,00:01:27
19.06.23,00:02:14
20.06.23,00:02:23
21.06.23,00:02:25
22.06.23,00:03:15
23.06.23,00:02:44
24.06.23,00:02:05
25.06.23,00:01:53
26.06.23,00:02:18
27.06.23,00:02:46
28.06.23,00:02:33
29.06.23,00:02:45
30.06.23,00:02:26
,00:02:49
