Date,Rate
"01.04.23,""47,55%"""
"02.04.23,""48,80%"""
"03.04.23,""44,15%"""
"04.04.23,""43,52%"""
"05.04.23,""50,85%"""
"06.04.23,""48,58%"""
"07.04.23,""50,64%"""
"08.04.23,""55,07%"""
"09.04.23,""51,38%"""
"10.04.23,""48,64%"""
"11.04.23,""41,52%"""
"12.04.23,""46,55%"""
"13.04.23,""45,57%"""
"14.04.23,""51,10%"""
"15.04.23,""56,45%"""
"16.04.23,""51,32%"""
"17.04.23,""47,20%"""
"18.04.23,""45,36%"""
"19.04.23,""43,75%"""
"20.04.23,""46,36%"""
"21.04.23,""48,18%"""
"22.04.23,""50,87%"""
"23.04.23,""50,28%"""
"24.04.23,""49,92%"""
"25.04.23,""48,68%"""
"26.04.23,""45,53%"""
"27.04.23,""46,16%"""
"28.04.23,""46,32%"""
"29.04.23,""50,84%"""
"30.04.23,""50,33%"""
"01.05.23,""48,91%"""
"02.05.23,""46,56%"""
"03.05.23,""46,44%"""
"04.05.23,""47,47%"""
"05.05.23,""50,46%"""
"06.05.23,""53,31%"""
"07.05.23,""53,40%"""
"08.05.23,""49,86%"""
"09.05.23,""48,17%"""
"10.05.23,""47,43%"""
"11.05.23,""45,96%"""
"12.05.23,""45,92%"""
"13.05.23,""49,19%"""
"14.05.23,""52,35%"""
"15.05.23,""45,61%"""
"16.05.23,""44,76%"""
"17.05.23,""46,92%"""
"18.05.23,""45,39%"""
"19.05.23,""44,69%"""
"20.05.23,""50,38%"""
"21.05.23,""51,07%"""
"22.05.23,""49,43%"""
"23.05.23,""47,84%"""
"24.05.23,""49,97%"""
"25.05.23,""47,73%"""
"26.05.23,""47,13%"""
"27.05.23,""52,00%"""
"28.05.23,""52,55%"""
"29.05.23,""54,14%"""
"30.05.23,""48,77%"""
"31.05.23,""46,91%"""
"01.06.23,""45,85%"""
"02.06.23,""52,51%"""
"03.06.23,""56,86%"""
"04.06.23,""55,09%"""
"05.06.23,""47,12%"""
"06.06.23,""46,21%"""
"07.06.23,""44,35%"""
"08.06.23,""48,44%"""
"09.06.23,""53,44%"""
"10.06.23,""57,23%"""
"11.06.23,""48,59%"""
"12.06.23,""42,88%"""
"13.06.23,""42,96%"""
"14.06.23,""45,13%"""
"15.06.23,""44,62%"""
"16.06.23,""55,01%"""
"17.06.23,""61,28%"""
"18.06.23,""62,34%"""
"19.06.23,""54,46%"""
"20.06.23,""48,02%"""
"21.06.23,""44,03%"""
"22.06.23,""47,62%"""
"23.06.23,""50,87%"""
"24.06.23,""60,02%"""
"25.06.23,""62,85%"""
"26.06.23,""54,61%"""
"27.06.23,""49,70%"""
"28.06.23,""52,65%"""
"29.06.23,""51,32%"""
"30.06.23,""57,46%"""
",""49,21%"""
